date,name
02-01-2000,Lailat-ul-Qadr
04-01-2000,Lailat-ul-Qadr
06-01-2000,Lailat-ul-Qadr
08-01-2000,Eid-ul-Fitr
14-03-2000,Hajj
15-03-2000,Hajj
16-03-2000,Eid-ul-Adha
17-03-2000,Hajj
18-03-2000,Hajj
19-03-2000,Hajj
15-04-2000,Ashura
15-06-2000,Mawlid al-Nabi
26-10-2000,Lailat-ul-Miraj
13-11-2000,Lailat-ul-Bara'at
28-11-2000,1st Day of Ramadan
18-12-2000,Lailat-ul-Qadr
20-12-2000,Lailat-ul-Qadr
22-12-2000,Lailat-ul-Qadr
24-12-2000,Lailat-ul-Qadr
26-12-2000,Lailat-ul-Qadr
28-12-2000,Eid-ul-Fitr
04-03-2001,Hajj
05-03-2001,Hajj
06-03-2001,Eid-ul-Adha
07-03-2001,Hajj
08-03-2001,Hajj
09-03-2001,Hajj
04-04-2001,Ashura
04-06-2001,Mawlid al-Nabi
15-10-2001,Lailat-ul-Miraj
02-11-2001,Lailat-ul-Bara'at
17-11-2001,1st Day of Ramadan
07-12-2001,Lailat-ul-Qadr
09-12-2001,Lailat-ul-Qadr
11-12-2001,Lailat-ul-Qadr
13-12-2001,Lailat-ul-Qadr
15-12-2001,Lailat-ul-Qadr
17-12-2001,Eid-ul-Fitr
21-02-2002,Hajj
22-02-2002,Hajj
23-02-2002,Eid-ul-Adha
24-02-2002,Hajj
25-02-2002,Hajj
26-02-2002,Hajj
24-03-2002,Ashura
24-05-2002,Mawlid al-Nabi
04-10-2002,Lailat-ul-Miraj
22-10-2002,Lailat-ul-Bara'at
06-11-2002,1st Day of Ramadan
26-11-2002,Lailat-ul-Qadr
28-11-2002,Lailat-ul-Qadr
30-11-2002,Lailat-ul-Qadr
02-12-2002,Lailat-ul-Qadr
04-12-2002,Lailat-ul-Qadr
06-12-2002,Eid-ul-Fitr
10-02-2003,Hajj
11-02-2003,Hajj
12-02-2003,Eid-ul-Adha
13-02-2003,Hajj
14-02-2003,Hajj
15-02-2003,Hajj
14-03-2003,Ashura
14-05-2003,Mawlid al-Nabi
24-09-2003,Lailat-ul-Miraj
12-10-2003,Lailat-ul-Bara'at
27-10-2003,1st Day of Ramadan
16-11-2003,Lailat-ul-Qadr
18-11-2003,Lailat-ul-Qadr
20-11-2003,Lailat-ul-Qadr
22-11-2003,Lailat-ul-Qadr
24-11-2003,Lailat-ul-Qadr
26-11-2003,Eid-ul-Fitr
31-01-2004,Hajj
01-02-2004,Hajj
02-02-2004,Eid-ul-Adha
03-02-2004,Hajj
04-02-2004,Hajj
05-02-2004,Hajj
02-03-2004,Ashura
02-05-2004,Mawlid al-Nabi
12-09-2004,Lailat-ul-Miraj
30-09-2004,Lailat-ul-Bara'at
15-10-2004,1st Day of Ramadan
04-11-2004,Lailat-ul-Qadr
