date,name
2000-03-20,Erev Purim
2000-03-21,Purim
2000-04-19,Erev Pesach
2000-04-20,Pesach I
2000-04-21,Pesach II
2000-04-22,Pesach III (CH''M)
2000-04-23,Pesach IV (CH''M)
2000-04-24,Pesach V (CH''M)
2000-04-25,Pesach VI (CH''M)
2000-04-26,Pesach VII
2000-04-27,Pesach VIII
2000-05-02,Yom HaShoah
2000-05-09,Yom HaZikaron
2000-05-10,Yom HaAtzma'ut
2000-06-02,Yom Yerushalayim
2000-06-08,Erev Shavuot
2000-06-09,Shavuot I
2000-06-10,Shavuot II
2000-08-09,Erev Tish'a B'Av
2000-08-10,Tish'a B'Av
2000-09-29,Erev Rosh Hashana
2000-09-30,Rosh Hashana 5761
2000-10-01,Rosh Hashana II
2000-10-08,Erev Yom Kippur
2000-10-09,Yom Kippur
2000-10-13,Erev Sukkot
2000-10-14,Sukkot I
2000-10-15,Sukkot II
2000-10-16,Sukkot III (CH''M)
2000-10-17,Sukkot IV (CH''M)
2000-10-18,Sukkot V (CH''M)
2000-10-19,Sukkot VI (CH''M)
2000-10-20,Sukkot VII (Hoshana Raba)
2000-10-21,Shmini Atzeret
2000-10-22,Simchat Torah
2000-12-21,Chanukah: 1 Candle
2000-12-22,Chanukah: 2 Candles
2000-12-23,Chanukah: 3 Candles
2000-12-24,Chanukah: 4 Candles
2000-12-25,Chanukah: 5 Candles
2000-12-26,Chanukah: 6 Candles
2000-12-27,Chanukah: 7 Candles
2000-12-28,Chanukah: 8 Candles
2001-03-08,Erev Purim
2001-03-09,Purim
2001-04-07,Erev Pesach
2001-04-08,Pesach I
2001-04-09,Pesach II
2001-04-10,Pesach III (CH''M)
2001-04-11,Pesach IV (CH''M)
2001-04-12,Pesach V (CH''M)
2001-04-13,Pesach VI (CH''M)
2001-04-14,Pesach VII
2001-04-15,Pesach VIII
2001-04-19,Yom HaShoah
2001-04-25,Yom HaZikaron
2001-04-26,Yom HaAtzma'ut
2001-05-21,Yom Yerushalayim
2001-05-27,Erev Shavuot
2001-05-28,Shavuot I
2001-05-29,Shavuot II
2001-07-28,Erev Tish'a B'Av
2001-07-29,Tish'a B'Av
2001-09-17,Erev Rosh Hashana
2001-09-18,Rosh Hashana 5762
2001-09-19,Rosh Hashana II
2001-09-26,Erev Yom Kippur
2001-09-27,Yom Kippur
2001-10-01,Erev Sukkot
2001-10-02,Sukkot I
2001-10-03,Sukkot II
2001-10-04,Sukkot III (CH''M)
2001-10-05,Sukkot IV (CH''M)
2001-10-06,Sukkot V (CH''M)
2001-10-07,Sukkot VI (CH''M)
2001-10-08,Sukkot VII (Hoshana Raba)
2001-10-09,Shmini Atzeret
2001-10-10,Simchat Torah
2001-12-09,Chanukah: 1 Candle
2001-12-10,Chanukah: 2 Candles
2001-12-11,Chanukah: 3 Candles
2001-12-12,Chanukah: 4 Candles
2001-12-13,Chanukah: 5 Candles
2001-12-14,Chanukah: 6 Candles
2001-12-15,Chanukah: 7 Candles
2001-12-16,Chanukah: 8 Candles
2002-02-25,Erev Purim
2002-02-26,Purim
2002-03-27,Erev Pesach
2002-03-28,Pesach I
2002-03-29,Pesach II
2002-03-30,Pesach III (CH''M)
2002-03-31,Pesach IV (CH''M)
2002-04-01,Pesach V (CH''M)
2002-04-02,Pesach VI (CH''M)
2002-04-03,Pesach VII
2002-04-04,Pesach VIII
2002-04-09,Yom HaShoah
2002-04-16,Yom HaZikaron
2002-04-17,Yom HaAtzma'ut
2002-05-10,Yom Yerushalayim
2002-05-16,Erev Shavuot
2002-05-17,Shavuot I
2002-05-18,Shavuot II
2002-07-17,Erev Tish'a B'Av
2002-07-18,Tish'a B'Av
2002-09-06,Erev Rosh Hashana
2002-09-07,Rosh Hashana 5763
2002-09-08,Rosh Hashana II
2002-09-15,Erev Yom Kippur
2002-09-16,Yom Kippur
2002-09-20,Erev Sukkot
2002-09-21,Sukkot I
2002-09-22,Sukkot II
2002-09-23,Sukkot III (CH''M)
2002-09-24,Sukkot IV (CH''M)
2002-09-25,Sukkot V (CH''M)
2002-09-26,Sukkot VI (CH''M)
2002-09-27,Sukkot VII (Hoshana Raba)
2002-09-28,Shmini Atzeret
2002-09-29,Simchat Torah
2002-11-29,Chanukah: 1 Candle
2002-11-30,Chanukah: 2 Candles
2002-12-01,Chanukah: 3 Candles
2002-12-02,Chanukah: 4 Candles
2002-12-03,Chanukah: 5 Candles
2002-12-04,Chanukah: 6 Candles
2002-12-05,Chanukah: 7 Candles
2002-12-06,Chanukah: 8 Candles
2003-03-17,Erev Purim
2003-03-18,Purim
2003-04-16,Erev Pesach
2003-04-17,Pesach I
2003-04-18,Pesach II
2003-04-19,Pesach III (CH''M)
2003-04-20,Pesach IV (CH''M)
2003-04-21,Pesach V (CH''M)
2003-04-22,Pesach VI (CH''M)
2003-04-23,Pesach VII
2003-04-24,Pesach VIII
2003-04-29,Yom HaShoah
2003-05-06,Yom HaZikaron
2003-05-07,Yom HaAtzma'ut
2003-05-30,Yom Yerushalayim
2003-06-05,Erev Shavuot
2003-06-06,Shavuot I
2003-06-07,Shavuot II
2003-08-06,Erev Tish'a B'Av
2003-08-07,Tish'a B'Av
2003-09-26,Erev Rosh Hashana
2003-09-27,Rosh Hashana 5764
2003-09-28,Rosh Hashana II
2003-10-05,Erev Yom Kippur
2003-10-06,Yom Kippur
2003-10-10,Erev Sukkot
2003-10-11,Sukkot I
2003-10-12,Sukkot II
2003-10-13,Sukkot III (CH''M)
2003-10-14,Sukkot IV (CH''M)
2003-10-15,Sukkot V (CH''M)
2003-10-16,Sukkot VI (CH''M)
2003-10-17,Sukkot VII (Hoshana Raba)
2003-10-18,Shmini Atzeret
2003-10-19,Simchat Torah
2003-12-19,Chanukah: 1 Candle
2003-12-20,Chanukah: 2 Candles
2003-12-21,Chanukah: 3 Candles
2003-12-22,Chanukah: 4 Candles
2003-12-23,Chanukah: 5 Candles
2003-12-24,Chanukah: 6 Candles
2003-12-25,Chanukah: 7 Candles
2003-12-26,Chanukah: 8 Candles
2004-03-06,Erev Purim
2004-03-07,Purim
2004-04-05,Erev Pesach
2004-04-06,Pesach I
2004-04-07,Pesach II
2004-04-08,Pesach III (CH''M)
2004-04-09,Pesach IV (CH''M)
2004-04-10,Pesach V (CH''M)
2004-04-11,Pesach VI (CH''M)
2004-04-12,Pesach VII
2004-04-13,Pesach VIII
2004-04-19,Yom HaShoah
2004-04-26,Yom HaZikaron
2004-04-27,Yom HaAtzma'ut
2004-05-19,Yom Yerushalayim
2004-05-25,Erev Shavuot
2004-05-26,Shavuot I
2004-05-27,Shavuot II
2004-07-26,Erev Tish'a B'Av
2004-07-27,Tish'a B'Av
2004-09-15,Erev Rosh Hashana
2004-09-16,Rosh Hashana 5765
2004-09-17,Rosh Hashana II
2004-09-24,Erev Yom Kippur
2004-09-25,Yom Kippur
2004-09-29,Erev Sukkot
2004-09-30,Sukkot I
2004-10-01,Sukkot II
2004-10-02,Sukkot III (CH''M)
2004-10-03,Sukkot IV (CH''M)
2004-10-04,Sukkot V (CH''M)
2004-10-05,Sukkot VI (CH''M)
2004-10-06,Sukkot VII (Hoshana Raba)
2004-10-07,Shmini Atzeret
2004-10-08,Simchat Torah
2004-12-07,Chanukah: 1 Candle
2004-12-08,Chanukah: 2 Candles
2004-12-09,Chanukah: 3 Candles
2004-12-10,Chanukah: 4 Candles
2004-12-11,Chanukah: 5 Candles
2004-12-12,Chanukah: 6 Candles
2004-12-13,Chanukah: 7 Candles
2004-12-14,Chanukah: 8 Candles
2005-03-24,Erev Purim
2005-03-25,Purim
2005-04-23,Erev Pesach
2005-04-24,Pesach I
2005-04-25,Pesach II
2005-04-26,Pesach III (CH''M)
2005-04-27,Pesach IV (CH''M)
2005-04-28,Pesach V (CH''M)
2005-04-29,Pesach VI (CH''M)
2005-04-30,Pesach VII
2005-05-01,Pesach VIII
2005-05-05,Yom HaShoah
2005-05-11,Yom HaZikaron
2005-05-12,Yom HaAtzma'ut
2005-06-06,Yom Yerushalayim
2005-06-12,Erev Shavuot
2005-06-13,Shavuot I
2005-06-14,Shavuot II
2005-08-13,Erev Tish'a B'Av
2005-08-14,Tish'a B'Av
2005-10-03,Erev Rosh Hashana
2005-10-04,Rosh Hashana 5766
2005-10-05,Rosh Hashana II
2005-10-12,Erev Yom Kippur
2005-10-13,Yom Kippur
2005-10-17,Erev Sukkot
2005-10-18,Sukkot I
2005-10-19,Sukkot II
2005-10-20,Sukkot III (CH''M)
2005-10-21,Sukkot IV (CH''M)
2005-10-22,Sukkot V (CH''M)
2005-10-23,Sukkot VI (CH''M)
2005-10-24,Sukkot VII (Hoshana Raba)
2005-10-25,Shmini Atzeret
2005-10-26,Simchat Torah
2005-12-25,Chanukah: 1 Candle
2005-12-26,Chanukah: 2 Candles
2005-12-27,Chanukah: 3 Candles
2005-12-28,Chanukah: 4 Candles
2005-12-29,Chanukah: 5 Candles
2005-12-30,Chanukah: 6 Candles
2005-12-31,Chanukah: 7 Candles
2006-01-01,Chanukah: 8 Candles
2006-03-13,Erev Purim
2006-03-14,Purim
2006-04-12,Erev Pesach
2006-04-13,Pesach I
2006-04-14,Pesach II
2006-04-15,Pesach III (CH''M)
2006-04-16,Pesach IV (CH''M)
2006-04-17,Pesach V (CH''M)
2006-04-18,Pesach VI (CH''M)
2006-04-19,Pesach VII
2006-04-20,Pesach VIII
2006-04-25,Yom HaShoah
2006-05-02,Yom HaZikaron
2006-05-03,Yom HaAtzma'ut
2006-05-26,Yom Yerushalayim
2006-06-01,Erev Shavuot
2006-06-02,Shavuot I
2006-06-03,Shavuot II
2006-08-02,Erev Tish'a B'Av
2006-08-03,Tish'a B'Av
2006-09-22,Erev Rosh Hashana
2006-09-23,Rosh Hashana 5767
2006-09-24,Rosh Hashana II
2006-10-01,Erev Yom Kippur
2006-10-02,Yom Kippur
2006-10-06,Erev Sukkot
2006-10-07,Sukkot I
2006-10-08,Sukkot II
2006-10-09,Sukkot III (CH''M)
2006-10-10,Sukkot IV (CH''M)
2006-10-11,Sukkot V (CH''M)
2006-10-12,Sukkot VI (CH''M)
2006-10-13,Sukkot VII (Hoshana Raba)
2006-10-14,Shmini Atzeret
2006-10-15,Simchat Torah
2006-12-15,Chanukah: 1 Candle
2006-12-16,Chanukah: 2 Candles
2006-12-17,Chanukah: 3 Candles
2006-12-18,Chanukah: 4 Candles
2006-12-19,Chanukah: 5 Candles
2006-12-20,Chanukah: 6 Candles
2006-12-21,Chanukah: 7 Candles
2006-12-22,Chanukah: 8 Candles
2007-03-03,Erev Purim
2007-03-04,Purim
2007-04-02,Erev Pesach
2007-04-03,Pesach I
2007-04-04,Pesach II
2007-04-05,Pesach III (CH''M)
2007-04-06,Pesach IV (CH''M)
2007-04-07,Pesach V (CH''M)
2007-04-08,Pesach VI (CH''M)
2007-04-09,Pesach VII
2007-04-10,Pesach VIII
2007-04-16,Yom HaShoah
2007-04-23,Yom HaZikaron
2007-04-24,Yom HaAtzma'ut
2007-05-16,Yom Yerushalayim
2007-05-22,Erev Shavuot
2007-05-23,Shavuot I
2007-05-24,Shavuot II
2007-07-23,Erev Tish'a B'Av
2007-07-24,Tish'a B'Av
2007-09-12,Erev Rosh Hashana
2007-09-13,Rosh Hashana 5768
2007-09-14,Rosh Hashana II
2007-09-21,Erev Yom Kippur
2007-09-22,Yom Kippur
2007-09-26,Erev Sukkot
2007-09-27,Sukkot I
2007-09-28,Sukkot II
2007-09-29,Sukkot III (CH''M)
